Date & Time, Temp *C, Humidity % ,Air Quality, Water Level
[2019-12-03 11:20:46.500] ,30,46,35,36
[2019-12-03 11:20:48.033] ,30,46,37,39
[2019-12-03 11:20:49.546] ,30,46,35,37
[2019-12-03 11:20:51.080] ,30,46,36,37
[2019-12-03 11:20:52.598] ,30,46,38,39
[2019-12-03 11:20:54.123] ,30,46,35,36
[2019-12-03 11:20:55.645] ,30,46,38,39
[2019-12-03 11:20:57.171] ,30,46,35,36
[2019-12-03 11:20:58.697] ,30,46,36,37
[2019-12-03 11:21:00.216] ,30,45,38,39
[2019-12-03 11:21:01.735] ,30,46,34,36
[2019-12-03 11:21:03.266] ,30,45,38,39
[2019-12-03 11:21:04.793] ,30,45,37,37
[2019-12-03 11:21:06.319] ,30,45,36,37
[2019-12-03 11:21:07.838] ,30,45,37,39
[2019-12-03 11:21:09.359] ,30,46,35,36
[2019-12-03 11:21:10.888] ,30,45,37,39
[2019-12-03 11:21:12.402] ,30,45,36,37
[2019-12-03 11:21:13.934] ,30,45,35,37
[2019-12-03 11:21:15.462] ,30,46,38,39
[2019-12-03 11:21:16.985] ,30,45,35,36
[2019-12-03 11:21:18.509] ,30,46,38,39
[2019-12-03 11:21:20.036] ,30,45,35,36
[2019-12-03 11:21:21.551] ,30,46,37,38
[2019-12-03 11:21:23.084] ,30,45,38,39
[2019-12-03 11:21:24.604] ,30,46,34,36
[2019-12-03 11:21:26.131] ,30,45,38,40
[2019-12-03 11:21:27.655] ,30,46,35,36
[2019-12-03 11:21:29.179] ,30,46,36,38
[2019-12-03 11:21:30.692] ,30,46,37,38
[2019-12-03 11:21:32.220] ,30,45,34,36
[2019-12-03 11:21:33.740] ,30,46,39,40
[2019-12-03 11:21:35.263] ,30,45,35,36
[2019-12-03 11:21:36.801] ,30,46,36,37
[2019-12-03 11:21:38.325] ,30,45,37,39
[2019-12-03 11:21:39.837] ,30,46,35,36
[2019-12-03 11:21:41.359] ,30,45,37,39
[2019-12-03 11:21:42.892] ,30,46,36,37
[2019-12-03 11:21:44.410] ,30,45,36,37
[2019-12-03 11:21:45.934] ,30,46,38,39
[2019-12-03 11:21:47.462] ,30,45,35,36
[2019-12-03 11:21:48.990] ,30,46,37,38
[2019-12-03 11:21:50.514] ,30,45,37,38
[2019-12-03 11:21:52.037] ,30,46,34,36
[2019-12-03 11:21:53.564] ,30,46,38,39
[2019-12-03 11:21:55.089] ,30,46,34,35
[2019-12-03 11:21:56.606] ,30,46,37,38
[2019-12-03 11:21:58.137] ,30,46,36,37
[2019-12-03 11:21:59.653] ,30,46,36,37
[2019-12-03 11:22:01.179] ,30,46,38,39
[2019-12-03 11:22:02.695] ,30,46,34,35
[2019-12-03 11:22:04.231] ,30,46,37,39
[2019-12-03 11:22:05.753] ,30,46,35,36
[2019-12-03 11:22:07.274] ,30,46,36,37
[2019-12-03 11:22:08.794] ,30,46,37,38
[2019-12-03 11:22:10.319] ,30,46,35,35
[2019-12-03 11:22:11.839] ,30,46,38,39
[2019-12-03 11:22:13.363] ,30,45,35,36
[2019-12-03 11:22:14.895] ,30,46,35,36
[2019-12-03 11:22:16.411] ,30,45,37,38
[2019-12-03 11:22:17.945] ,30,45,35,35
[2019-12-03 11:22:19.472] ,30,45,37,38
[2019-12-03 11:22:20.995] ,30,45,37,37
[2019-12-03 11:22:22.506] ,30,45,35,36
[2019-12-03 11:22:24.047] ,30,45,39,39
[2019-12-03 11:22:25.568] ,30,45,34,35
[2019-12-03 11:22:27.086] ,30,45,36,37
[2019-12-03 11:22:28.613] ,30,45,37,38
[2019-12-03 11:22:30.142] ,30,45,33,35
[2019-12-03 11:22:31.664] ,30,45,38,38
[2019-12-03 11:22:33.188] ,30,45,36,37
[2019-12-03 11:22:34.706] ,30,45,35,36
[2019-12-03 11:22:36.235] ,30,45,38,39
[2019-12-03 11:22:37.760] ,30,45,36,36
[2019-12-03 11:22:39.280] ,30,45,35,36
[2019-12-03 11:22:40.797] ,30,45,37,38
[2019-12-03 11:22:42.322] ,30,45,34,35
[2019-12-03 11:22:43.852] ,30,45,38,39
[2019-12-03 11:22:45.376] ,30,45,35,36
[2019-12-03 11:22:46.892] ,30,45,36,37
[2019-12-03 11:22:48.416] ,30,45,38,39
[2019-12-03 11:22:49.947] ,30,45,34,35
[2019-12-03 11:22:51.469] ,30,45,36,37
[2019-12-03 11:22:53.000] ,30,45,38,39
[2019-12-03 11:22:54.517] ,30,45,34,35
[2019-12-03 11:22:56.048] ,30,45,35,36
[2019-12-03 11:22:57.567] ,30,45,38,39
[2019-12-03 11:22:59.099] ,30,45,37,38
[2019-12-03 11:23:00.613] ,30,45,35,35
[2019-12-03 11:23:02.134] ,30,45,34,36
[2019-12-03 11:23:03.660] ,30,45,37,38
[2019-12-03 11:23:05.189] ,30,45,37,39
[2019-12-03 11:23:06.718] ,30,45,36,37
[2019-12-03 11:23:08.241] ,30,45,34,35
[2019-12-03 11:23:09.763] ,30,45,36,37
[2019-12-03 11:23:11.276] ,30,45,37,39
[2019-12-03 11:23:12.811] ,30,45,36,37
[2019-12-03 11:23:14.331] ,30,45,33,35
[2019-12-03 11:23:15.856] ,30,45,36,37
[2019-12-03 11:23:17.374] ,30,45,37,38
[2019-12-03 11:23:18.898] ,30,45,36,36
[2019-12-03 11:23:20.425] ,30,45,35,36
[2019-12-03 11:23:21.945] ,30,45,37,39
[2019-12-03 11:23:23.477] ,30,45,36,37
[2019-12-03 11:23:25.006] ,30,45,34,35
[2019-12-03 11:23:26.524] ,30,45,38,39
[2019-12-03 11:23:28.053] ,30,45,35,36
[2019-12-03 11:23:29.571] ,30,45,36,37
[2019-12-03 11:23:31.088] ,30,45,37,38
[2019-12-03 11:23:32.616] ,30,45,34,35
[2019-12-03 11:23:34.152] ,30,45,38,39
[2019-12-03 11:23:35.660] ,30,45,36,37
[2019-12-03 11:23:37.196] ,30,45,34,36
[2019-12-03 11:23:38.722] ,30,45,39,39
[2019-12-03 11:23:40.240] ,30,45,34,36
[2019-12-03 11:23:41.764] ,30,45,34,36
[2019-12-03 11:23:43.293] ,30,45,38,39
[2019-12-03 11:23:44.811] ,30,45,35,37
[2019-12-03 11:23:46.335] ,30,45,34,35
[2019-12-03 11:23:47.859] ,30,45,38,38
[2019-12-03 11:23:49.385] ,30,45,37,38
[2019-12-03 11:23:50.910] ,30,45,34,35
[2019-12-03 11:23:52.433] ,30,45,37,37
[2019-12-03 11:23:53.960] ,30,45,38,39
[2019-12-03 11:23:55.478] ,30,45,34,35
[2019-12-03 11:23:57.010] ,30,45,36,37
[2019-12-03 11:23:58.528] ,30,45,37,38
[2019-12-03 11:24:00.057] ,30,45,33,35
[2019-12-03 11:24:01.574] ,30,45,37,38
[2019-12-03 11:24:03.105] ,30,45,35,36
[2019-12-03 11:24:04.625] ,30,45,35,36
[2019-12-03 11:24:06.147] ,30,45,37,38
[2019-12-03 11:24:07.667] ,30,45,34,35
[2019-12-03 11:24:09.200] ,30,45,36,37
[2019-12-03 11:24:10.725] ,30,45,37,38
[2019-12-03 11:24:12.249] ,30,45,34,35
[2019-12-03 11:24:13.759] ,30,45,37,38
[2019-12-03 11:24:15.296] ,30,46,37,38
[2019-12-03 11:24:16.816] ,30,45,35,35
[2019-12-03 11:24:18.331] ,30,45,35,37
[2019-12-03 11:24:19.870] ,30,45,37,39
[2019-12-03 11:24:21.387] ,30,45,35,36
[2019-12-03 11:24:22.903] ,30,45,35,36
[2019-12-03 11:24:24.442] ,30,46,38,39
[2019-12-03 11:24:25.957] ,30,45,35,36
[2019-12-03 11:24:27.481] ,30,46,35,36
[2019-12-03 11:24:29.015] ,30,45,37,39
[2019-12-03 11:24:30.536] ,30,46,36,37
[2019-12-03 11:24:32.061] ,30,45,35,36
[2019-12-03 11:24:33.584] ,30,46,38,39
[2019-12-03 11:24:35.100] ,30,45,36,36
[2019-12-03 11:24:36.619] ,30,46,34,36
[2019-12-03 11:24:38.157] ,30,45,37,39
[2019-12-03 11:24:39.680] ,30,46,34,35
[2019-12-03 11:24:41.194] ,30,45,37,38
[2019-12-03 11:24:42.725] ,30,46,36,38
[2019-12-03 11:24:44.255] ,30,45,34,35
[2019-12-03 11:24:45.774] ,30,46,37,38
[2019-12-03 11:24:47.296] ,30,46,37,38
[2019-12-03 11:24:48.823] ,30,46,34,35
[2019-12-03 11:24:50.341] ,30,46,37,38
[2019-12-03 11:24:51.869] ,30,46,36,37
[2019-12-03 11:24:53.396] ,30,46,34,35
